id,scenario,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg,mobility,router,ttl,seed,buffer_size,message_interval,exp_weight
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mseE']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mseE']_[100M]_[35,60]_w[4]",302400.0,6444,1602167,1602167,0,1357870,211156,4869,0.7556,0.0,328.0546,4171.473,1406.0,10.8755,8,5405.8732,2950.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mseE',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[100M]_[25,35]_w[4]",302400.0,10254,113000269,113000269,0,112677519,292564,7655,0.7465,0.0,14760.6289,3849.2492,1361.0,106.3045,11,79.2441,12.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'MeE',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['me']_[50M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['me']_[50M]_[35,60]_w[4]",302400.0,6435,87061867,87061867,0,86878843,168021,4695,0.7296,0.0,18542.5286,3739.8831,1361.0,111.1504,14,52.0467,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'me',50,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gE']_[150M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gE']_[150M]_[25,35]_w[4]",302400.0,10243,4122169,4122169,0,3743198,330024,7736,0.7552,0.0,531.8554,3958.7145,1320.0,11.1246,8,3181.593,1091.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'gE',150,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['Me']_[50M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['Me']_[50M]_[5,25]_w[4]",302400.0,20837,116607182,116607182,0,116256189,342481,12313,0.5909,0.0,9469.2495,3708.4529,1103.0,61.6365,15,41.265,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'Me',50,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ge']_[150M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['ge']_[150M]_[5,25]_w[4]",302400.0,20849,278899026,278899026,0,278321158,532939,15137,0.726,0.0,18423.9869,3791.3279,1377.0,116.4562,14,49.1055,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'ge',150,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[100M]_[25,35]_w[4]",302400.0,10250,110034645,110034645,0,109713055,289616,7595,0.741,0.0,14486.7742,3746.9161,1336.0,106.197,11,81.3853,13.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'se',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['eE']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['eE']_[150M]_[60, 120]_w[4]",302400.0,3386,342670,342670,0,170530,121010,2716,0.8021,0.0,125.1672,5480.7235,1639.0,10.1215,7,35385.1713,45955.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'eE',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mge']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mge']_[150M]_[60, 120]_w[4]",302400.0,3387,340658,340658,0,170082,118363,2711,0.8004,0.0,124.6577,5609.7307,1572.0,10.3386,7,36131.5247,48230.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mge',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mseE']_[75M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mseE']_[75M]_[25,35]_w[4]",302400.0,10263,137671157,137671157,0,137387768,261118,7474,0.7282,0.0,18419.0103,3790.6541,1389.0,109.6161,14,49.3488,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mseE',75,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['se']_[200M]_[35,60]_w[4]",302400.0,6420,640810,640810,0,355473,217257,5044,0.7857,0.0,126.044,4828.3705,1441.0,10.2365,7,26637.4835,32381.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'se',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[75M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[75M]_[60, 120]_w[4]",302400.0,3398,340207,340207,0,203091,112712,2634,0.7752,0.0,128.1598,4505.4427,1249.0,10.0835,7,19470.742,21739.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgE',75,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mM']_[100M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mM']_[100M]_[5,25]_w[4]",302400.0,20850,212344702,212344702,0,211863312,455199,14385,0.6899,0.0,14760.5365,3866.6204,1425.0,95.4147,16,43.41,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mM',100,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgME']_[50M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgME']_[50M]_[60, 120]_w[4]",302400.0,3407,1361640,1361640,0,1236440,109263,2564,0.7526,0.0,530.0608,4004.6287,1259.0,11.0176,7,3188.621,1208.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mgME',50,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gMeE']_[50M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gMeE']_[50M]_[5,25]_w[4]",302400.0,20852,115011552,115011552,0,114656138,346784,12427,0.596,0.0,9253.9732,3714.1575,1117.0,64.3482,16,41.3917,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'gMeE',50,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[100M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgM']_[100M]_[35,60]_w[4]",302400.0,6439,1434905,1434905,0,1195951,206056,4881,0.758,0.0,292.9777,4008.2192,1357.0,10.578,7,6131.733,3373.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgM',100,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['eE']_[100M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['eE']_[100M]_[25,35]_w[4]",302400.0,10257,104175355,104175355,0,103854387,289733,7602,0.7412,0.0,13702.6773,3769.2526,1274.0,98.7755,11,85.4268,15.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'eE',100,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mge']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mge']_[200M]_[35,60]_w[4]",302400.0,6453,644348,644348,0,352510,222722,5033,0.7799,0.0,127.0246,5103.3735,1637.0,10.4288,7,26296.6471,32134.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mge',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[75M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msgE']_[75M]_[5,25]_w[4]",302400.0,20908,164756334,164756334,0,164327761,410553,13722,0.6563,0.0,12005.7289,3856.8442,1335.0,77.2975,16,42.7416,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msgE',75,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['MeE']_[200M]_[35,60]_w[4]",302400.0,6424,643928,643928,0,358027,218538,5061,0.7878,0.0,126.2334,4973.8526,1425.0,10.194,7,26570.5716,32368.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'MeE',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mse']_[75M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mse']_[75M]_[5,25]_w[4]",302400.0,20889,165440596,165440596,0,165013262,409595,13709,0.6563,0.0,12067.028,3861.9656,1350.0,82.5573,16,42.8539,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mse',75,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMe']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMe']_[200M]_[35,60]_w[4]",302400.0,6420,641968,641968,0,354725,218706,5022,0.7822,0.0,126.8311,5010.2867,1447.0,10.1571,7,26447.9373,32204.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sMe',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mg']_[150M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mg']_[150M]_[35,60]_w[4]",302400.0,6428,644880,644880,0,373639,220037,4963,0.7721,0.0,128.9375,4766.0351,1467.0,10.3462,7,20141.7091,23754.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mg',150,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msM']_[75M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msM']_[75M]_[35,60]_w[4]",302400.0,6433,26306937,26306937,0,26093796,189803,4795,0.7454,0.0,5485.3268,3776.898,1315.0,38.633,9,251.0338,45.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msM',75,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mE']_[150M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mE']_[150M]_[25,35]_w[4]",302400.0,10267,4555148,4555148,0,4177906,328467,7812,0.7609,0.0,582.0963,3961.0961,1274.0,11.1317,8,2892.7325,871.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mE',150,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['geE']_[200M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['geE']_[200M]_[60, 120]_w[4]",302400.0,3363,340670,340670,0,153802,119007,2681,0.7972,0.0,126.0683,5814.9396,1606.0,10.232,7,45576.1915,65904.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'geE',200,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msg']_[50M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msg']_[50M]_[60, 120]_w[4]",302400.0,3375,2469443,2469443,0,2346228,106886,2547,0.7547,0.0,968.5497,4082.1362,1280.0,11.5092,8,1745.8903,209.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msg',50,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msMe']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msMe']_[200M]_[35,60]_w[4]",302400.0,6426,641101,641101,0,351559,220268,5037,0.7838,0.0,126.2783,5186.4304,1551.0,10.2096,7,26254.958,31849.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msMe',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mg']_[200M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mg']_[200M]_[35,60]_w[4]",302400.0,6428,644270,644270,0,350151,224936,5039,0.7839,0.0,126.8567,5289.1981,1553.0,10.2989,7,26148.8923,32180.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mg',200,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['me']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['me']_[150M]_[60, 120]_w[4]",302400.0,3379,338047,338047,0,169311,117284,2649,0.784,0.0,126.6131,5397.5636,1422.0,10.3073,7,36170.9154,47648.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'me',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgeE']_[75M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgeE']_[75M]_[60, 120]_w[4]",302400.0,3383,341795,341795,0,204456,112161,2628,0.7768,0.0,129.059,4361.0133,1367.0,10.6073,7,19324.5329,22703.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mgeE',75,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMe']_[75M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sMe']_[75M]_[5,25]_w[4]",302400.0,20848,163717928,163717928,0,163292626,406557,13673,0.6558,0.0,11972.8117,3740.4338,1326.0,76.2499,16,43.0607,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sMe',75,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgMe']_[150M]_[35,60]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgMe']_[150M]_[35,60]_w[4]",302400.0,6427,649012,649012,0,381053,218609,5014,0.7801,0.0,128.44,4768.2262,1525.0,10.1378,7,20022.063,23148.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mgMe',150,"35,60",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgE']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['mgE']_[150M]_[60, 120]_w[4]",302400.0,3397,339449,339449,0,168415,118518,2692,0.7925,0.0,125.0955,5376.049,1407.0,10.3187,7,36125.3398,46839.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'mgE',150,"60, 120",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msM']_[75M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msM']_[75M]_[25,35]_w[4]",302400.0,10254,138079871,138079871,0,137794056,263279,7474,0.7289,0.0,18473.6951,3762.3738,1350.0,122.5816,14,49.4234,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msM',75,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msE']_[75M]_[5,25]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['msE']_[75M]_[5,25]_w[4]",302400.0,20888,165868195,165868195,0,165443985,406364,13543,0.6484,0.0,12246.5223,3884.4475,1469.0,81.2212,16,42.6075,9.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'msE',75,"5,25",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sg']_[75M]_[25,35]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['sg']_[75M]_[25,35]_w[4]",302400.0,10245,138075512,138075512,0,137787879,265193,7464,0.7286,0.0,18497.8628,3748.6439,1300.0,118.8359,14,49.5591,10.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'sg',75,"25,35",4
"infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gE']_[150M]_[60, 120]_w[4]","infocom06_EpidemicOracleRouter_[300]ttl_[302400]s_seed['gE']_[150M]_[60, 120]_w[4]",302400.0,3378,340249,340249,0,168661,119924,2699,0.799,0.0,125.0648,5587.3653,1659.0,10.2123,7,35399.1565,45350.0,0.0,0.0,NaN,infocom06,EpidemicOracle,300,'gE',150,"60, 120",4
